title,artist,top10,peak_rank,ar1_coef,ma1_coef,ar1_manual,model_aic,mean_streams,std_streams,trend_slope,peak_day,volatility,early_late_ratio,danceability,energy,valence,tempo,acousticness,loudness,speechiness
Falling,Trevor Daniel,1,1,0.09734503009322035,-0.9433282747330934,-0.36119712778189567,529.2508968192803,57695.19047619047,96766.33548011123,1123.5610389610395,18,137446.4672046812,0.9457355747069429,0.785,0.431,0.236,127.085,0.123,-8.756,0.0364
"Family (feat. Bebe Rexha, Ty Dolla $ign & A Boogie Wit da Hoodie)",David Guetta,0,41,-0.03595462216944504,-0.8783439003226307,-0.5245069682007902,559.4532393372745,66701.42857142857,202561.15455680975,5567.375324675323,15,305141.4235801328,0.12857854937615676,0.687,0.717,0.685,88.063,0.0744,-6.61,0.0755
Fancy Like,Walker Hayes,0,19,-0.5396392422632882,-0.7284163676170826,-0.7793113564520987,542.5815195731228,241747.14285714287,155352.17254424762,3039.042857142852,19,277239.6415862998,0.8649311209486871,0.647,0.765,0.855,79.994,0.111,-6.459,0.06
Fast Car,Tracy Chapman,0,79,-0.42757859050989905,-0.9374188547109726,-0.6470785247045296,461.59343812355996,19519.47619047619,20081.047218516524,-513.9246753246753,12,34900.06464607193,1.652334086552363,0.711,0.292,0.194,103.951,0.313,-15.523,0.037
Father And Son,Yusuf / Cat Stevens,0,107,-0.513890941174876,-0.9996161581683995,-0.7049742325437189,210.340994544791,6591.615384615385,1141.515628011322,84.01648351648362,11,1944.801580496067,1.0,0.495,0.326,0.371,136.243,0.541,-12.29,0.0365
Fattig bonddräng - Så mycket bättre 2020,Markus Krunegård,0,23,0.4688404715978673,-0.9576291829508299,0.04350895265603985,384.71632890114677,28376.95,9375.817790864965,-1399.1827067669187,0,5320.8801726438405,1.0,0.196,0.703,0.401,87.365,0.118,-7.284,0.0399
Fed Up,Ghostemane,0,28,-0.92760220013157,0.457673621878855,-0.46461751097359044,353.785048166625,3957.285714285714,1914.1065587807138,-217.22207792207803,0,1811.773630313677,1.9895822481508492,0.849,0.758,0.0684,115.058,0.499,-7.498,0.256
Feel Good Inc.,Gorillaz,0,52,-0.2785766344806564,-0.9473689739503856,-0.6014134634180817,458.060740122319,22030.666666666668,17182.19367427563,55.201298701298875,9,28322.52012176,1.0449555741827325,0.818,0.705,0.772,138.559,0.00836,-6.679,0.177
Feel So Close - Radio Edit,Calvin Harris,0,46,-0.1507010971183896,-0.9999999998901894,-0.5092784326498345,495.64833086825286,22810.0,38404.02256088733,-764.6389610389604,2,59448.95662740852,1.8729319806411113,0.707,0.924,0.919,127.937,0.000972,-2.842,0.031
Feel Something (feat. Duncan Laurence),Armin van Buuren,0,57,-0.44182461718091126,-0.9999132601521443,-0.17826268762064182,434.49843910443025,37192.90476190476,9979.738787996608,343.55194805194793,0,14103.480629263116,0.8459388534488276,0.687,0.645,0.732,93.76,0.0688,-4.745,0.127
Feel Special,TWICE,1,3,-0.10107522308545883,-0.8708382002878081,-0.5544875874776929,554.9843628888603,84392.28571428571,182646.0922635808,1425.7116883116885,10,281883.4336902889,0.6103894045612793,0.708,0.959,0.644,128.981,0.0296,-1.338,0.0604
Feelings,Lauv,1,7,-0.16562892395079845,-0.999999999995284,-0.5288335269370789,540.8971006122764,38258.47619047619,96984.4782621077,-2952.024675324676,3,148873.01349945867,2.9105562453580074,0.7,0.392,0.25,103.044,0.0578,-8.911,0.033
Felices los 4,Maluma,1,1,0.3606775674071001,-0.9015874786234088,-0.21761207759068676,535.5241630927101,56102.857142857145,117044.40709336237,4252.328571428573,16,143468.06046067362,0.36374613589653193,0.766,0.756,0.716,94.027,0.213,-5.861,0.132
Fell On Black Days,Soundgarden,0,96,-0.17093388737610596,-0.9999999953582147,-0.5097851708220477,331.57176706094685,83819.38461538461,151404.91666772173,-266.15384615384374,3,244298.40597458312,1.0,0.574,0.739,0.514,101.069,0.00152,-5.745,0.0271
Fetish (feat. Gucci Mane),Selena Gomez,1,1,0.35363564837747896,-0.8983866026361284,-0.1659421892167339,462.9847937741537,18982.04761904762,18195.095954879056,121.62467532467521,6,23191.434565966378,1.0842833321990062,0.708,0.618,0.265,123.013,0.0204,-4.424,0.0592
Fever,Vybz Kartel,0,19,-0.07273449011801936,-0.9994229216170699,-0.45503342473176384,371.6577807466052,7159.809523809524,2026.8785670640416,92.45974025974022,6,2964.6744892989514,0.8938842608840208,0.891,0.62,0.404,98.093,0.139,-7.463,0.244
Fight Song,Rachel Platten,0,174,-0.04869519155139059,-0.7847648752222771,-0.5088625540905125,370.60689028425804,9091.333333333334,9087.701133338887,445.51909184726514,7,13329.685746106896,1.0,0.564,0.714,0.33,175.924,0.0549,-4.987,0.129
Film out,BTS,1,2,0.11231558046841536,-0.9488226990928027,-0.2523488894482655,482.2178277467521,24067.04761904762,30308.101259401144,691.4402597402595,18,42038.7808444774,0.8763980178642442,0.499,0.709,0.314,164.032,0.296,-6.404,0.134
Filter,BTS,1,2,0.01503704266087984,-0.9999814704735874,-0.364999951559085,474.2877557915522,22239.333333333332,26286.857448313152,-1205.0311688311688,3,36538.70731358048,2.3398780080721027,0.779,0.762,0.859,110.043,0.0224,-5.188,0.0631
Final Masquerade,Linkin Park,0,77,0.2586615540786653,-0.9975586547452839,-0.32382328084702744,216.01994093216345,3999.9166666666665,2722.3748351495533,-15.912587412587438,4,3598.8488517651363,1.0,0.466,0.852,0.428,164.032,0.00774,-4.487,0.0585
Fine,TAEYEON,0,20,-0.5537101295241316,-0.9984845343139357,-0.6931600757958861,390.89288841711027,9340.285714285714,3640.1116171120375,-21.17402597402583,16,6220.342436514246,0.9675502198977772,0.36,0.565,0.311,173.281,0.358,-4.898,0.0608
Fingers,Lil Peep,0,43,-0.0031195508208636514,-0.9147109899487638,-0.49937149001540687,511.5366347797638,16531.380952380954,61389.247098196654,-527.2311688311687,9,91540.33092876333,2.3519536690858445,0.546,0.835,0.423,133.986,0.0123,-6.399,0.0501
Fire On Fire,Sam Smith,0,61,-0.2882688275455973,0.6699041120733977,0.3381928227813757,433.13956449248326,53300.857142857145,19730.777056804076,1440.2194805194804,7,10725.30576300741,0.6856180543766807,0.584,0.408,0.333,115.129,0.476,-7.356,0.0461
Firestarter,The Prodigy,0,32,0.4526397339451093,-0.9198585280858735,-0.09344962889619418,488.3644353242567,19317.190476190477,37036.93826389701,437.53766233766294,10,42421.68403007476,0.5819824397059523,0.545,0.948,0.355,141.507,0.00335,-5.098,0.0779
